Date,Open,High,Low,Close,Adj Close,Volume
03-07-2023,1516.150024,1555,1505,1512.949951,1512.949951,501460
04-07-2023,1512.949951,1525,1494,1512.550049,1512.550049,176405
05-07-2023,1495,1512.449951,1495,1505.900024,1505.900024,237911
06-07-2023,1514.949951,1515.849976,1478.900024,1486.349976,1486.349976,198368
07-07-2023,1498.5,1498.5,1462,1481.650024,1481.650024,228647
10-07-2023,1494,1496.050049,1392.099976,1401,1401,468704
11-07-2023,1414.699951,1474.75,1403.050049,1448.550049,1448.550049,1065257
12-07-2023,1448,1448.150024,1400,1410.300049,1410.300049,420679
13-07-2023,1419.300049,1447.800049,1417,1427.25,1427.25,366680
14-07-2023,1433,1446.300049,1415.050049,1440.699951,1440.699951,516712
17-07-2023,1450,1492.949951,1447.550049,1455.900024,1455.900024,677484
18-07-2023,1461.400024,1479,1436.199951,1457.199951,1457.199951,217099
19-07-2023,1461,1498,1458,1486.099976,1486.099976,425177
20-07-2023,1490,1500.400024,1462.050049,1470.199951,1470.199951,212204
21-07-2023,1456,1492.349976,1440.449951,1476.150024,1476.150024,244279
24-07-2023,1470,1490,1420.099976,1482.349976,1482.349976,359416
25-07-2023,1482.349976,1487.949951,1460,1466.550049,1466.550049,143831
26-07-2023,1445.050049,1485,1439.349976,1462.349976,1462.349976,335021
27-07-2023,1470,1476.300049,1422.900024,1433.650024,1433.650024,276729
28-07-2023,1441.199951,1468.650024,1436.25,1463,1463,242928
31-07-2023,1473,1474.550049,1430.449951,1467.050049,1467.050049,416936
01-08-2023,1472,1482.949951,1452,1461.75,1461.75,180490
02-08-2023,1462.699951,1529.900024,1452,1518.099976,1518.099976,1065085
03-08-2023,1519.599976,1519.599976,1485.199951,1502.75,1502.75,330752
04-08-2023,1509.900024,1573.25,1499,1561.75,1561.75,933404
07-08-2023,1574.699951,1654.400024,1570.050049,1641.349976,1641.349976,1064807
08-08-2023,1652.050049,1653.5,1566.900024,1588.800049,1588.800049,527925
09-08-2023,1596,1602.5,1550,1559.699951,1559.699951,255553
10-08-2023,1565.599976,1579.699951,1536.400024,1542.25,1542.25,214564
11-08-2023,1550.900024,1550.900024,1515.150024,1542.949951,1542.949951,190740
14-08-2023,1547.400024,1564,1515.849976,1553.5,1553.5,204990
16-08-2023,1561.5,1584.099976,1524.050049,1529.75,1529.75,212228
17-08-2023,1534.25,1554,1530.099976,1546.25,1546.25,204636
18-08-2023,1535,1559,1505,1541.900024,1541.900024,341910
21-08-2023,1541.849976,1548.400024,1533.25,1541.900024,1541.900024,148936
22-08-2023,1547.199951,1565,1534,1551.050049,1551.050049,158910
23-08-2023,1554.699951,1565.099976,1536.699951,1547.400024,1547.400024,125980
24-08-2023,1560.599976,1597.800049,1552,1585.099976,1585.099976,290326
25-08-2023,1585.300049,1593.849976,1543,1589.300049,1589.300049,241929
28-08-2023,1599,1610,1560,1573.449951,1573.449951,139997
29-08-2023,1588.650024,1609.949951,1571.300049,1603.150024,1603.150024,196352
30-08-2023,1611.5,1624.400024,1592.150024,1610.449951,1610.449951,149043
31-08-2023,1620,1645,1596,1637.349976,1637.349976,316473
01-09-2023,1645.75,1778.349976,1637.349976,1709.75,1709.75,1188764
04-09-2023,1724,1779,1706.849976,1772.349976,1772.349976,510926
05-09-2023,1779,1945,1768,1898.550049,1898.550049,1959589
06-09-2023,1894.050049,1894.050049,1832.650024,1840.949951,1840.949951,575500
07-09-2023,1841.050049,1856.699951,1813,1823.25,1823.25,339020
08-09-2023,1829.099976,1844,1784.199951,1788,1788,339081
11-09-2023,1797.400024,1868.099976,1795,1840,1840,372813
12-09-2023,1847,1905,1734.949951,1764.199951,1764.199951,631687
13-09-2023,1767,1769.849976,1716.050049,1745.199951,1745.199951,324668
14-09-2023,1754.699951,1789,1750.050049,1764.699951,1764.699951,238871
15-09-2023,1760,1767.900024,1705,1711.900024,1711.900024,431531
18-09-2023,1716.400024,1720.849976,1672,1674.449951,1674.449951,327134
20-09-2023,1674,1674,1610.5,1614.349976,1614.349976,590777
21-09-2023,1614.349976,1668,1586.449951,1634.800049,1634.800049,526396
22-09-2023,1634,1676,1626,1633.5,1633.5,384878
25-09-2023,1631.050049,1666,1604,1644.75,1644.75,301649
26-09-2023,1650,1678.650024,1637.050049,1669.800049,1669.800049,450218
27-09-2023,1744.949951,1769.5,1671,1677.050049,1677.050049,1110044
28-09-2023,1684.699951,1748.900024,1681.599976,1691.150024,1691.150024,751649
29-09-2023,1702.849976,1716.550049,1685.050049,1694.300049,1694.300049,239455
03-10-2023,1694.300049,1713.949951,1686.599976,1700.650024,1700.650024,385535
04-10-2023,1703.199951,1704,1661,1668.800049,1668.800049,403295
05-10-2023,1680.849976,1695,1671.050049,1679.75,1679.75,366452
06-10-2023,1684.949951,1691.900024,1675.349976,1682.199951,1682.199951,113179
09-10-2023,1670,1672.949951,1637.050049,1655.050049,1655.050049,273176
