Date,Open,High,Low,Close,Adj Close,Volume
03-07-2023,5226,5230,5137,5211.350098,5170.592773,364676
04-07-2023,5209.899902,5275.350098,5145,5250.549805,5209.48584,384232
05-07-2023,5425,5430,5205.049805,5242.100098,5201.102539,1432005
06-07-2023,5255,5265,5170,5178.200195,5137.702148,415786
07-07-2023,5190,5250,5101.200195,5114.549805,5074.549805,606865
10-07-2023,5099,5099,4962.049805,4997.75,4997.75,560058
11-07-2023,4997.75,5023.25,4915,4924.25,4924.25,537188
12-07-2023,4961,4988.25,4776.200195,4816.200195,4816.200195,5055302
13-07-2023,4805,4943.899902,4795.549805,4893.299805,4893.299805,837160
14-07-2023,4925,5114.399902,4902,5093.100098,5093.100098,1374038
17-07-2023,5125,5296,5080,5134.850098,5134.850098,1526990
18-07-2023,5050,5077.950195,4945.25,5001.149902,5001.149902,1983506
19-07-2023,5030,5039,4950,4990.5,4990.5,526765
20-07-2023,5005,5018,4955.700195,4985.049805,4985.049805,361901
21-07-2023,4895,5020,4855,4922.75,4922.75,859135
24-07-2023,4922.75,4962.600098,4866,4879.049805,4879.049805,254263
25-07-2023,4890,4899,4852.5,4868.649902,4868.649902,283808
26-07-2023,4889,4937.5,4855,4860.549805,4860.549805,384319
27-07-2023,4890,4898.850098,4837.600098,4862.450195,4862.450195,406914
28-07-2023,4870,4893.5,4813.100098,4844.049805,4844.049805,217121
31-07-2023,4840.399902,4904,4801,4891.649902,4891.649902,343283
01-08-2023,4929,4998.700195,4900,4977.450195,4977.450195,442346
02-08-2023,4975,4976,4840,4865.950195,4865.950195,542161
03-08-2023,4860,4898.950195,4831.049805,4869.899902,4869.899902,346102
04-08-2023,4885,4980.950195,4881.200195,4940.899902,4940.899902,238713
07-08-2023,4956,5059.299805,4930.850098,5047.049805,5047.049805,451430
08-08-2023,5058,5096,5021.5,5082.549805,5082.549805,340699
09-08-2023,5075,5112.5,5033,5104.200195,5104.200195,201844
10-08-2023,5085,5144.899902,5071.549805,5106.549805,5106.549805,255038
11-08-2023,5115,5171.950195,5095.049805,5107.350098,5107.350098,353239
14-08-2023,5090,5203.950195,5065,5193.299805,5193.299805,396400
16-08-2023,5199,5238.700195,5160,5197.899902,5197.899902,405856
17-08-2023,5188,5188,5082.799805,5097.549805,5097.549805,344151
18-08-2023,5100,5114,5011.600098,5085.149902,5085.149902,338124
21-08-2023,5086,5152.149902,5056,5147.549805,5147.549805,202004
22-08-2023,5170,5170,5109,5139.899902,5139.899902,175355
23-08-2023,5155.049805,5245.899902,5155.049805,5174.5,5174.5,359052
24-08-2023,5219,5229.899902,5120.25,5170.149902,5170.149902,296417
25-08-2023,5131,5189.899902,5104.149902,5127.399902,5127.399902,206278
28-08-2023,5150,5156.850098,5095.5,5129.950195,5129.950195,165824
29-08-2023,5141,5187.950195,5122.100098,5136.75,5136.75,196122
30-08-2023,5179.399902,5213,5135,5173.649902,5173.649902,349680
31-08-2023,5195,5253.399902,5158.049805,5193.399902,5193.399902,636436
01-09-2023,5224.799805,5314,5197.049805,5303.350098,5303.350098,435444
04-09-2023,5315.049805,5380,5272.850098,5365.700195,5365.700195,397768
05-09-2023,5365.700195,5462,5341.350098,5426.149902,5426.149902,600824
06-09-2023,5448.950195,5480.399902,5357.100098,5407.25,5407.25,388092
07-09-2023,5400,5497.950195,5353,5485.899902,5485.899902,602474
08-09-2023,5500,5501,5450,5478.5,5478.5,244392
11-09-2023,5480,5521,5467.299805,5508.649902,5508.649902,239456
12-09-2023,5508.600098,5536,5416,5505.450195,5505.450195,327724
13-09-2023,5498,5550,5457.350098,5539.100098,5539.100098,247607
14-09-2023,5545,5593.399902,5481.350098,5498.600098,5498.600098,401195
15-09-2023,5529.950195,5549.299805,5495.149902,5532.799805,5532.799805,296245
18-09-2023,5520,5523.600098,5471.100098,5513.75,5513.75,184125
20-09-2023,5475,5527.700195,5453.200195,5473.450195,5473.450195,145121
21-09-2023,5468,5468,5355,5394.149902,5394.149902,313418
22-09-2023,5386,5452.5,5350,5427.5,5427.5,180055
25-09-2023,5449,5459,5360,5377.100098,5377.100098,254576
26-09-2023,5381,5410.5,5353,5363.049805,5363.049805,159123
27-09-2023,5400,5445,5376.100098,5436.899902,5436.899902,320128
28-09-2023,5462,5462,5218.100098,5264.899902,5264.899902,484805
29-09-2023,5265,5303.049805,5128,5209.850098,5209.850098,481064
03-10-2023,5195,5249.850098,5137.600098,5212.75,5212.75,255939
04-10-2023,5181,5199,5126.649902,5186.200195,5186.200195,199894
05-10-2023,5217.700195,5255,5195.350098,5226.25,5226.25,283699
06-10-2023,5250,5264.950195,5216.75,5239.200195,5239.200195,139350
09-10-2023,5215.950195,5234,5173.5,5200,5200,249914
