Date,Open,High,Low,Close,Adj Close,Volume
03-07-2023,1136,1136.900024,1115.099976,1121.449951,1064.713379,1899656
04-07-2023,1123.550049,1156,1120.099976,1148,1089.920166,2773593
05-07-2023,1150.800049,1184.949951,1146.5,1175,1115.554199,3732838
06-07-2023,1175,1184,1162,1179.25,1119.589111,2520085
07-07-2023,1170,1184.300049,1151.25,1156,1097.515503,2261102
10-07-2023,1159.949951,1159.949951,1135.599976,1147.150024,1089.113281,2088505
11-07-2023,1154.650024,1166.199951,1145.099976,1161.449951,1102.689697,1212566
12-07-2023,1166,1169,1153.449951,1159.400024,1100.74353,1274203
13-07-2023,1159.400024,1191.900024,1153.5,1175.25,1115.791504,3215610
14-07-2023,1183.949951,1232,1183,1228.650024,1166.48999,6033106
17-07-2023,1235.900024,1270.75,1220.650024,1242.400024,1179.544312,4880073
18-07-2023,1243,1258.400024,1225,1247.550049,1184.433716,2666872
19-07-2023,1255,1261.699951,1231.099976,1244.699951,1181.727905,2293881
20-07-2023,1245,1255.5,1235.599976,1252.949951,1220.949951,2000345
21-07-2023,1199.5,1217.949951,1181,1195.099976,1195.099976,5032086
24-07-2023,1196.5,1203.949951,1155.25,1161.849976,1161.849976,2669308
25-07-2023,1164,1164.699951,1145,1156.5,1156.5,2557865
26-07-2023,1158,1167,1139.449951,1143.199951,1143.199951,3170213
27-07-2023,1111,1125,1082.300049,1099.900024,1099.900024,17594818
28-07-2023,1100,1100,1085.050049,1091.050049,1091.050049,4244321
31-07-2023,1095,1119,1087.150024,1115.5,1115.5,4766331
01-08-2023,1120,1154.5,1119.900024,1143.5,1143.5,3805214
02-08-2023,1143,1152.599976,1125.599976,1145.650024,1145.650024,2357217
03-08-2023,1140,1146.949951,1121.300049,1142.800049,1142.800049,2348236
04-08-2023,1153.949951,1181.849976,1142.800049,1175.199951,1175.199951,3580506
07-08-2023,1180,1192.849976,1172.099976,1183.650024,1183.650024,1694290
08-08-2023,1186,1208.900024,1175.099976,1205.400024,1205.400024,5137402
09-08-2023,1206.949951,1236.5,1200.199951,1228,1228,3396984
10-08-2023,1220,1239.199951,1215.599976,1235.800049,1235.800049,3715680
11-08-2023,1235.800049,1250.349976,1215.300049,1220.449951,1220.449951,2933959
14-08-2023,1212.099976,1221.199951,1203,1219.75,1219.75,1842625
16-08-2023,1221,1239,1220,1227.849976,1227.849976,2341456
17-08-2023,1225,1233.900024,1214.550049,1231.75,1231.75,2636308
18-08-2023,1225.949951,1225.949951,1205.150024,1210.800049,1210.800049,1794430
21-08-2023,1205,1224,1204.349976,1218.849976,1218.849976,1175945
22-08-2023,1218.849976,1223,1209.25,1213.199951,1213.199951,1003208
23-08-2023,1213.199951,1218.849976,1199.199951,1201,1201,1569035
24-08-2023,1206.199951,1216.5,1196.699951,1199.099976,1199.099976,1218843
25-08-2023,1190,1197.199951,1178.449951,1189.5,1189.5,1213340
28-08-2023,1189.550049,1196.300049,1182.300049,1184.75,1184.75,950013
29-08-2023,1192.400024,1207.900024,1188.25,1198,1198,1419344
30-08-2023,1207.949951,1221.599976,1194.550049,1197.199951,1197.199951,2016339
31-08-2023,1199,1214.5,1198,1201.949951,1201.949951,2817747
01-09-2023,1205,1229.900024,1204.050049,1228.050049,1228.050049,1686038
04-09-2023,1235,1266,1225.550049,1256.75,1256.75,3466873
05-09-2023,1258.75,1266.599976,1248.650024,1254.550049,1254.550049,2199985
06-09-2023,1254.550049,1259.599976,1235.849976,1248.949951,1248.949951,1753376
07-09-2023,1248.949951,1274.849976,1238.650024,1269.25,1269.25,2554884
08-09-2023,1272,1278,1259.050049,1262.949951,1262.949951,1731105
11-09-2023,1265,1275,1263.5,1268.849976,1268.849976,1293853
12-09-2023,1271.800049,1283.800049,1251.550049,1266,1266,2335224
13-09-2023,1260.300049,1268.75,1253.900024,1260.400024,1260.400024,1204376
14-09-2023,1262,1289.349976,1262,1279.849976,1279.849976,3288631
15-09-2023,1278.199951,1303.699951,1274,1300.050049,1300.050049,4316210
18-09-2023,1301,1302,1283,1289.800049,1289.800049,1967717
20-09-2023,1282,1289.150024,1269.050049,1274.349976,1274.349976,2843560
21-09-2023,1275.949951,1296,1265.900024,1291.650024,1291.650024,2960250
22-09-2023,1290.050049,1320,1284,1305.349976,1305.349976,3252940
25-09-2023,1305.349976,1314.400024,1296.050049,1299.449951,1299.449951,2100302
26-09-2023,1300,1303.050049,1279.150024,1282.300049,1282.300049,1141475
27-09-2023,1269.949951,1293.900024,1264,1288.650024,1288.650024,1568115
28-09-2023,1274.050049,1274.050049,1222,1229.5,1229.5,6570797
29-09-2023,1224,1231.650024,1210,1222.800049,1222.800049,2861162
03-10-2023,1220.599976,1230.699951,1212.550049,1216.199951,1216.199951,1622290
04-10-2023,1210,1215.5,1186.050049,1205,1205,2340603
05-10-2023,1214,1223.949951,1199.5,1205.599976,1205.599976,2497613
06-10-2023,1207,1223,1205,1216.900024,1216.900024,1446719
09-10-2023,1203.25,1227.75,1202.150024,1215.25,1215.25,945089
